lag,correlation,p_value,q_value_fdr,fdr_05
1,0.07933030850187266,0.11685398033805233,0.5990804291617571,False
2,0.013088256261185626,0.7964177365642466,0.857680639376881,False
3,0.055326516742808446,0.2757400013917915,0.5990804291617571,False
4,-0.05247662102768431,0.301893459338825,0.5990804291617571,False
5,-0.04810361611675627,0.3446479647900995,0.5990804291617571,False
6,0.008961128822700363,0.8605143662801418,0.8605143662801418,False
7,-0.08496320379601538,0.09554153763931258,0.5990804291617571,False
8,0.0500095347764245,0.3277382434228639,0.5990804291617571,False
9,-0.02096534178150969,0.6821428506768533,0.857680639376881,False
10,-0.05338034061573195,0.2974106201887914,0.5990804291617571,False
11,-0.020337964145566306,0.6919278721337623,0.857680639376881,False
12,0.013273865931101808,0.7962096747717129,0.857680639376881,False
13,-0.06959022635249032,0.17582069805164768,0.5990804291617571,False
14,-0.04473705207570636,0.3851231330325582,0.5990804291617571,False
