feature,group,days,precision,baseline,lift,stderr,t_stat,beats_baseline
pattern_memory.memory_prob,pattern_memory,210,0.24673721340388022,0.23765728565289646,0.009079927750983763,0.006192626459203721,1.4662482568262813,False
pattern_memory.memory_excess,pattern_memory,210,0.24673721340388022,0.23765728565289646,0.009079927750983763,0.006192626459203721,1.4662482568262813,False
double_hit.partner_correlation,double_hit,210,0.24761904761904766,0.23765728565289646,0.0099617619661512,0.007631147409298789,1.3054081426880164,False
double_hit.partner_cohit_rate,double_hit,210,0.24779541446208123,0.23765728565289646,0.010138128809184771,0.008064492880466935,1.2571315964256604,False
special_set.touch_rate,special_set,210,0.24179894179894185,0.23765728565289646,0.0041416561460453916,0.004797215979987199,0.8633457745749533,False
geometric.diamond_hit,geometric,210,0.23915343915343917,0.23765728565289646,0.0014961535005427185,0.004816026204989028,0.31066141189032986,False
geometric.diamond_weight,geometric,210,0.23915343915343917,0.23765728565289646,0.0014961535005427185,0.004816026204989028,0.31066141189032986,False
double_hit.double_excess,double_hit,210,0.23915343915343917,0.23765728565289646,0.0014961535005427185,0.005099703591100696,0.29338048257424226,False
double_hit.double_rate,double_hit,210,0.23915343915343917,0.23765728565289646,0.0014961535005427185,0.005099703591100696,0.29338048257424226,False
special_set.tail_rate,special_set,210,0.23897707231040555,0.23765728565289646,0.0013197866575090922,0.004886601138547087,0.2700827466965104,False
special_set.shadow_rate,special_set,210,0.2386243386243386,0.23765728565289646,0.000967052971442145,0.005117140318906817,0.1889830864846673,False
special_set.head_rate,special_set,210,0.23844797178130525,0.23765728565289646,0.0007906861284087963,0.0050984193397667675,0.15508456164866324,False
special_set.sum_rate,special_set,210,0.23738977072310405,0.23765728565289646,-0.0002675149297924062,0.004933567856295665,-0.05422342158546248,False
special_set.bo_rate,special_set,210,0.23668430335097015,0.23765728565289646,-0.0009729823019263006,0.005488929740185477,-0.17726266284716963,False
geometric.clamped_hit,geometric,210,0.23509700176366843,0.23765728565289646,-0.002560283889228021,0.004980360611471623,-0.5140760055267354,False
geometric.clamped_weight,geometric,210,0.23509700176366843,0.23765728565289646,-0.002560283889228021,0.004980360611471623,-0.5140760055267354,False
geometric.pascal_hit,geometric,210,0.2324514991181659,0.23765728565289646,-0.005205786534730555,0.0048025956341856526,-1.0839527062563679,False
pattern_memory.gap_current,pattern_memory,210,0.23104056437389783,0.23765728565289646,-0.006616721278998622,0.006000640878065414,-1.1026691004264582,False
pattern_memory.gap_zscore,pattern_memory,210,0.2299823633156967,0.23765728565289646,-0.007674922337199769,0.0060800283794642486,-1.2623168607440047,False
pattern_memory.gap_ratio,pattern_memory,210,0.2298059964726632,0.23765728565289646,-0.007851289180233256,0.006047593737903678,-1.298250100866532,False
