number,number_str,lag_days,acf,bartlett_lower,bartlett_upper,exceeds_bartlett,p_value,q_value_fdr,fdr_05
44,44,7,0.05120264736626154,-0.030193176496962758,0.030193176496962758,True,0.0008928913654957947,0.18545354421688734,False
6,06,14,0.05070680109132018,-0.030193176496962758,0.030193176496962758,True,0.0010114840290994366,0.18545354421688734,False
59,59,14,0.05034599612667001,-0.030193176496962758,0.030193176496962758,True,0.0010989301049071048,0.18545354421688734,False
35,35,3,-0.04976427728774638,-0.030193176496962758,0.030193176496962758,True,0.0012363569614459156,0.18545354421688734,False
30,30,14,0.04646432343250085,-0.030193176496962758,0.030193176496962758,True,0.0025956448106534335,0.26691786662560923,False
52,52,1,0.046261979515656464,-0.030193176496962758,0.030193176496962758,True,0.0026691786662560923,0.26691786662560923,False
25,25,30,-0.044331000128510926,-0.030193176496962758,0.030193176496962758,True,0.004130066780412529,0.3540057240353596,False
79,79,30,0.04203636506631207,-0.030193176496962758,0.030193176496962758,True,0.006538794348686173,0.490409576151463,False
74,74,30,0.038795718422491555,-0.030193176496962758,0.030193176496962758,True,0.012085045516809551,0.6522295928880257,False
31,31,7,0.037775327239358225,-0.030193176496962758,0.030193176496962758,True,0.014273458976146883,0.6522295928880257,False
4,04,14,-0.037449480282902924,-0.030193176496962758,0.030193176496962758,True,0.015218690500720599,0.6522295928880257,False
1,01,1,-0.037854781268182106,-0.030193176496962758,0.030193176496962758,True,0.014001863782811614,0.6522295928880257,False
94,94,14,-0.03822329124583098,-0.030193176496962758,0.030193176496962758,True,0.01323730482974325,0.6522295928880257,False
86,86,14,-0.038750439824376086,-0.030193176496962758,0.030193176496962758,True,0.01202154513880964,0.6522295928880257,False
73,73,1,0.03685112948209046,-0.030193176496962758,0.030193176496962758,True,0.0167558376694503,0.6579053939696953,False
17,17,7,-0.036616705225420536,-0.030193176496962758,0.030193176496962758,True,0.017544143839191874,0.6579053939696953,False
67,67,1,-0.03623394704966288,-0.030193176496962758,0.030193176496962758,True,0.018676093994102867,0.6591562586153953,False
