number,number_str,prev_hit_next_hit,prev_hit_next_miss,prev_miss_next_hit,prev_miss_next_miss,p_next_given_hit,p_next_given_absent,effect,lift,test,p_value,q_value_fdr,fdr_05
77,77,153,409,409,1428,0.2722419928825623,0.22264561785519868,0.04959637502736361,1.2227592687659339,chi_square,0.015131765160542798,0.9684960280428865,False
26,26,151,413,413,1422,0.26773049645390073,0.22506811989100817,0.04266237656289257,1.1895531743169683,chi_square,0.03665504034114867,0.9684960280428865,False
58,58,145,411,411,1432,0.2607913669064748,0.22300596852957136,0.03778539837690345,1.1694367134030001,chi_square,0.06421081983880167,0.9684960280428865,False
4,04,147,414,415,1423,0.2620320855614973,0.22578890097932536,0.03624318458217196,1.1605180078603183,chi_square,0.07605010551482044,0.9684960280428865,False
52,52,156,424,425,1394,0.2689655172413793,0.2336448598130841,0.03532065742829518,1.1511724137931034,chi_square,0.08381319220452961,0.9684960280428865,False
82,82,147,415,416,1421,0.2615658362989324,0.22645617855198694,0.03510965774694544,1.1550395223104297,chi_square,0.08568787159296933,0.9684960280428865,False
93,93,145,419,419,1416,0.2570921985815603,0.22833787465940056,0.028754323922159736,1.1259288410433488,chi_square,0.1590200795596523,0.9684960280428865,False
55,55,135,410,410,1444,0.24770642201834864,0.22114347357065803,0.02656294844769061,1.1201163571268742,chi_square,0.19324398987183555,0.9684960280428865,False
73,73,127,401,401,1470,0.24053030303030304,0.21432389096739712,0.026206412062905915,1.1222748054107157,chi_square,0.19928921220212714,0.9684960280428865,False
20,20,140,418,418,1423,0.25089605734767023,0.22705051602390006,0.023845541323770175,1.1050230659738298,chi_square,0.2428290397363117,0.9684960280428865,False
63,63,153,433,433,1380,0.26109215017064846,0.23883066740209596,0.0222614827685525,1.0932103193057405,chi_square,0.2755553673870703,0.9684960280428865,False
22,22,149,429,430,1391,0.2577854671280277,0.23613399231191654,0.021651474816111155,1.09169147823288,chi_square,0.2892104912778147,0.9684960280428865,False
79,79,162,444,445,1348,0.26732673267326734,0.24818739542665924,0.0191393372466081,1.0771164756925131,chi_square,0.34879680518366873,0.9684960280428865,False
11,11,154,437,437,1371,0.26057529610829105,0.24170353982300885,0.018871756285282204,1.0780781129606183,chi_square,0.3553140907172472,0.9684960280428865,False
41,41,152,436,436,1375,0.2585034013605442,0.24075096631695195,0.01775243504359228,1.0737377519815265,chi_square,0.38456990993248874,0.9684960280428865,False
50,50,141,425,425,1408,0.24911660777385158,0.23186033824331698,0.017256269530534607,1.0744252754105175,chi_square,0.3979964107803099,0.9684960280428865,False
86,86,129,412,412,1446,0.23844731977818853,0.2217438105489774,0.016703509229211128,1.0753279615239666,chi_square,0.4132823931744769,0.9684960280428865,False
8,08,145,430,430,1394,0.25217391304347825,0.23574561403508773,0.016428299008390518,1.0696865520728007,chi_square,0.4210209240301954,0.9684960280428865,False
53,53,137,422,421,1419,0.24508050089445438,0.22880434782608697,0.01627615306836741,1.0711356808688741,chi_square,0.4250466091153904,0.9684960280428865,False
97,97,152,438,438,1371,0.2576271186440678,0.24212271973466004,0.015504398909407746,1.0640352913861155,chi_square,0.44761387306763467,0.9684960280428865,False
75,75,145,431,431,1392,0.2517361111111111,0.23642347778387274,0.015312633327238367,1.0647678203145141,chi_square,0.4532508109303154,0.9684960280428865,False
59,59,136,422,422,1419,0.24372759856630824,0.2292232482346551,0.014504350331653149,1.0632760875842973,chi_square,0.47744552378409777,0.9684960280428865,False
61,61,151,438,438,1372,0.2563667232597623,0.2419889502762431,0.014377772983519194,1.059414997945593,chi_square,0.4812974021882316,0.9684960280428865,False
14,14,138,424,425,1412,0.24555160142348753,0.23135547087642896,0.014196130547058566,1.0613606866234038,chi_square,0.4871229899364067,0.9684960280428865,False
96,96,146,433,434,1386,0.25215889464594127,0.23846153846153847,0.013697356184402792,1.0574405259345923,chi_square,0.5025413490575699,0.9684960280428865,False
72,72,141,429,429,1400,0.24736842105263157,0.23455440131219246,0.012814019740439109,1.0546313335787019,chi_square,0.5302493639528947,0.9684960280428865,False
45,45,127,414,414,1444,0.23475046210720887,0.22282023681377824,0.01193022529343063,1.0535419289738988,chi_square,0.5589932573181544,0.9684960280428865,False
6,06,144,434,434,1387,0.2491349480968858,0.23833058758923667,0.01080436050764913,1.0453335034203435,chi_square,0.5966714876310846,0.9684960280428865,False
80,80,136,425,426,1412,0.24242424242424243,0.23177366702937977,0.010650575394862666,1.0459524825722009,chi_square,0.6021311149194871,0.9684960280428865,False
91,91,152,443,442,1362,0.25546218487394956,0.24501108647450112,0.010451098399448439,1.0426556142819117,chi_square,0.6085255600569579,0.9684960280428865,False
3,03,132,422,421,1424,0.23826714801444043,0.22818428184281841,0.010082866171622018,1.0441873826286048,chi_square,0.621188211024502,0.9684960280428865,False
21,21,141,432,432,1394,0.24607329842931938,0.23658269441401972,0.009490604015299664,1.040115377157262,chi_square,0.6420418360992421,0.9684960280428865,False
25,25,139,430,430,1400,0.24428822495606328,0.23497267759562843,0.009315547360434856,1.0396452364409203,chi_square,0.6481946348516947,0.9684960280428865,False
81,81,143,435,434,1387,0.24740484429065743,0.23833058758923667,0.009074256701420758,1.0380742429799243,chi_square,0.6565248354367889,0.9684960280428865,False
68,68,154,447,446,1352,0.2562396006655574,0.24805339265850945,0.008186208007047946,1.0330017981988167,chi_square,0.6882879456335357,0.9684960280428865,False
54,54,145,438,438,1378,0.24871355060034306,0.24118942731277532,0.007524123287567741,1.0311959084251667,chi_square,0.7124792313610544,0.9684960280428865,False
70,70,145,439,438,1377,0.2482876712328767,0.2413223140495868,0.006965357183289916,1.0288632951773315,chi_square,0.7328335158591298,0.9684960280428865,False
47,47,135,428,428,1408,0.23978685612788633,0.23311546840958605,0.006671387718300281,1.0286183828289703,chi_square,0.743848039513983,0.9684960280428865,False
92,92,157,451,451,1340,0.2582236842105263,0.2518146286990508,0.0064090555114755254,1.0254514820865912,chi_square,0.753587195709745,0.9684960280428865,False
69,69,132,425,425,1417,0.236983842010772,0.23072747014115091,0.00625637186962108,1.0271158517266872,chi_square,0.7592738331310322,0.9684960280428865,False
23,23,128,421,421,1429,0.2331511839708561,0.22756756756756757,0.005583616403288527,1.0245360815821467,chi_square,0.7844817827147381,0.9684960280428865,False
27,27,118,419,420,1442,0.21973929236499068,0.22556390977443608,-0.005824617409445398,0.9741775294847921,chi_square,0.7755685522886351,0.9684960280428865,False
65,65,130,434,434,1401,0.23049645390070922,0.23651226158038147,-0.006015807679672247,0.9745644997875609,chi_square,0.7682599031457598,0.9684960280428865,False
9,09,135,440,440,1384,0.23478260869565218,0.2412280701754386,-0.0064454614797864185,0.9732806324110672,chi_square,0.7522332288763287,0.9684960280428865,False
94,94,141,447,446,1365,0.23979591836734693,0.24627277747101048,-0.0064768591036635514,0.9737004667337787,chi_square,0.7509276909516036,0.9684960280428865,False
83,83,134,439,439,1387,0.2338568935427574,0.24041621029572838,-0.006559316752970973,0.9727168282666857,chi_square,0.7480037964439386,0.9684960280428865,False
39,39,130,434,435,1400,0.23049645390070922,0.23705722070844687,-0.00656076680773765,0.9723241216271297,chi_square,0.748099244745283,0.9684960280428865,False
0,00,117,419,419,1444,0.21828358208955223,0.22490606548577563,-0.0066224833962234,0.970554447333737,chi_square,0.7456605747584606,0.9684960280428865,False
32,32,141,447,447,1364,0.23979591836734693,0.24682495858641634,-0.007029040219069416,0.9715221659133452,chi_square,0.730636106402486,0.9684960280428865,False
13,13,160,466,467,1306,0.25559105431309903,0.263395375070502,-0.007804320757402949,0.9703703196940568,chi_square,0.7024204047632658,0.9684960280428865,False
56,56,124,430,429,1416,0.22382671480144403,0.23252032520325203,-0.008693610401807994,0.9626113958243921,chi_square,0.6700504093903407,0.9684960280428865,False
87,87,122,428,427,1422,0.22181818181818183,0.23093564088696591,-0.009117459068784084,0.9605194805194807,chi_square,0.6549796911753571,0.9684960280428865,False
10,10,149,458,457,1335,0.24546952224052718,0.25502232142857145,-0.009552799188044275,0.962541321345787,chi_square,0.6396791474901714,0.9684960280428865,False
29,29,119,425,425,1430,0.21875,0.22911051212938005,-0.01036051212938005,0.9547794117647059,chi_square,0.6118365773291106,0.9684960280428865,False
1,01,126,434,434,1405,0.225,0.2359978249048396,-0.010997824904839582,0.9533986175115208,chi_square,0.5901153171979336,0.9684960280428865,False
42,42,145,455,455,1344,0.24166666666666667,0.2529182879377432,-0.011251621271076512,0.9555128205128206,chi_square,0.5815652834183311,0.9684960280428865,False
64,64,146,457,456,1340,0.24212271973466004,0.25389755011135856,-0.01177483037669852,0.9536236943935296,chi_square,0.563909380731728,0.9684960280428865,False
90,90,147,457,458,1337,0.2433774834437086,0.2551532033426184,-0.01177571989890977,0.9538484340206483,chi_square,0.5643086022803641,0.9684960280428865,False
95,95,146,457,457,1339,0.24212271973466004,0.2544543429844098,-0.012331623249749735,0.9515369904670666,chi_square,0.545845090854871,0.9684960280428865,False
51,51,120,429,428,1422,0.2185792349726776,0.23135135135135135,-0.012772116378673759,0.944793422194985,chi_square,0.531331764584358,0.9684960280428865,False
7,07,123,433,433,1410,0.22122302158273383,0.23494302767227346,-0.013720006089539633,0.9416028378221212,chi_square,0.501583543575993,0.9684960280428865,False
44,44,123,433,434,1409,0.22122302158273383,0.23548562126966902,-0.01426259968693519,0.9394332460299043,chi_square,0.48509070232210605,0.9684960280428865,False
62,62,137,450,450,1362,0.23339011925042588,0.24834437086092714,-0.014954251610501262,0.9397842135150483,chi_square,0.4638920730238738,0.9684960280428865,False
5,05,123,435,434,1407,0.22043010752688172,0.23574144486692014,-0.015311337340038422,0.9350502948317725,chi_square,0.4530065414985014,0.9684960280428865,False
60,60,134,448,448,1369,0.23024054982817868,0.24656026417171162,-0.016319714343532937,0.9338104442808051,chi_square,0.4240974194847439,0.9684960280428865,False
