mode,rule_kind,lag_days,pos_i_index,pos_j_index,pos_i_code,pos_j_code,path_line,rule_score,p_mean,current_streak,max_streak,predict_for_date,predicts_next,timeline_trials,timeline_hits,timeline_hit_rate,recent_trials,recent_hits,recent_hit_rate,timeline_recent_json,note
loto,active,12,50,62,prize4_1.d0,prize4_4.d0,L12: Giải tư 1 · số 1(5) + Giải tư 4 · số 1(1) → 51,99.3143,0.23814329,10,10,2026-09-24,51,4142,990,0.23901496861419605,20,11,0.55,"[{""target_date"": ""2026-09-04"", ""base_date"": ""2026-08-23"", ""candidate"": ""10"", ""hit"": false}, {""target_date"": ""2026-09-05"", ""base_date"": ""2026-08-24"", ""candidate"": ""64"", ""hit"": false}, {""target_date"": ""2026-09-06"", ""base_date"": ""2026-08-25"", ""candidate"": ""48"", ""hit"": false}, {""target_date"": ""2026-09-07"", ""base_date"": ""2026-08-26"", ""candidate"": ""74"", ""hit"": false}, {""target_date"": ""2026-09-08"", ""base_date"": ""2026-08-27"", ""candidate"": ""23"", ""hit"": false}, {""target_date"": ""2026-09-09"", ""base_date"": ""2026-08-28"", ""candidate"": ""92"", ""hit"": false}, {""target_date"": ""2026-09-10"", ""base_date"": ""2026-08-29"", ""candidate"": ""41"", ""hit"": false}, {""target_date"": ""2026-09-11"", ""base_date"": ""2026-08-30"", ""candidate"": ""43"", ""hit"": false}, {""target_date"": ""2026-09-12"", ""base_date"": ""2026-08-31"", ""candidate"": ""49"", ""hit"": true}, {""target_date"": ""2026-09-13"", ""base_date"": ""2026-09-01"", ""candidate"": ""93"", ""hit"": false}, {""target_date"": ""2026-09-14"", ""base_date"": ""2026-09-02"", ""candidate"": ""31"", ""hit"": true}, {""target_date"": ""2026-09-15"", ""base_date"": ""2026-09-03"", ""candidate"": ""82"", ""hit"": true}, {""target_date"": ""2026-09-16"", ""base_date"": ""2026-09-04"", ""candidate"": ""86"", ""hit"": true}, {""target_date"": ""2026-09-17"", ""base_date"": ""2026-09-05"", ""candidate"": ""39"", ""hit"": true}, {""target_date"": ""2026-09-18"", ""base_date"": ""2026-09-06"", ""candidate"": ""56"", ""hit"": true}, {""target_date"": ""2026-09-19"", ""base_date"": ""2026-09-07"", ""candidate"": ""06"", ""hit"": true}, {""target_date"": ""2026-09-20"", ""base_date"": ""2026-09-08"", ""candidate"": ""34"", ""hit"": true}, {""target_date"": ""2026-09-21"", ""base_date"": ""2026-09-09"", ""candidate"": ""08"", ""hit"": true}, {""target_date"": ""2026-09-22"", ""base_date"": ""2026-09-10"", ""candidate"": ""33"", ""hit"": true}, {""target_date"": ""2026-09-23"", ""base_date"": ""2026-09-11"", ""candidate"": ""35"", ""hit"": true}]",Timeline is retrospective explainability only. The candidate for target date D uses raw digits from D-lag and never uses D's outcome to construct the candidate.
loto,active,13,35,105,prize3_4.d0,prize7_4.d0,L13: Giải ba 4 · số 1(6) + Giải bảy 4 · số 1(1) → 61,89.5693,0.24369324,8,8,2026-09-24,61,4140,1048,0.2531400966183575,20,11,0.55,"[{""target_date"": ""2026-09-04"", ""base_date"": ""2026-08-22"", ""candidate"": ""06"", ""hit"": true}, {""target_date"": ""2026-09-05"", ""base_date"": ""2026-08-23"", ""candidate"": ""59"", ""hit"": true}, {""target_date"": ""2026-09-06"", ""base_date"": ""2026-08-24"", ""candidate"": ""07"", ""hit"": false}, {""target_date"": ""2026-09-07"", ""base_date"": ""2026-08-25"", ""candidate"": ""68"", ""hit"": false}, {""target_date"": ""2026-09-08"", ""base_date"": ""2026-08-26"", ""candidate"": ""16"", ""hit"": false}, {""target_date"": ""2026-09-09"", ""base_date"": ""2026-08-27"", ""candidate"": ""57"", ""hit"": true}, {""target_date"": ""2026-09-10"", ""base_date"": ""2026-08-28"", ""candidate"": ""40"", ""hit"": false}, {""target_date"": ""2026-09-11"", ""base_date"": ""2026-08-29"", ""candidate"": ""30"", ""hit"": false}, {""target_date"": ""2026-09-12"", ""base_date"": ""2026-08-30"", ""candidate"": ""67"", ""hit"": false}, {""target_date"": ""2026-09-13"", ""base_date"": ""2026-08-31"", ""candidate"": ""92"", ""hit"": false}, {""target_date"": ""2026-09-14"", ""base_date"": ""2026-09-01"", ""candidate"": ""06"", ""hit"": false}, {""target_date"": ""2026-09-15"", ""base_date"": ""2026-09-02"", ""candidate"": ""01"", ""hit"": false}, {""target_date"": ""2026-09-16"", ""base_date"": ""2026-09-03"", ""candidate"": ""07"", ""hit"": true}, {""target_date"": ""2026-09-17"", ""base_date"": ""2026-09-04"", ""candidate"": ""38"", ""hit"": true}, {""target_date"": ""2026-09-18"", ""base_date"": ""2026-09-05"", ""candidate"": ""92"", ""hit"": true}, {""target_date"": ""2026-09-19"", ""base_date"": ""2026-09-06"", ""candidate"": ""83"", ""hit"": true}, {""target_date"": ""2026-09-20"", ""base_date"": ""2026-09-07"", ""candidate"": ""71"", ""hit"": true}, {""target_date"": ""2026-09-21"", ""base_date"": ""2026-09-08"", ""candidate"": ""90"", ""hit"": true}, {""target_date"": ""2026-09-22"", ""base_date"": ""2026-09-09"", ""candidate"": ""46"", ""hit"": true}, {""target_date"": ""2026-09-23"", ""base_date"": ""2026-09-10"", ""candidate"": ""04"", ""hit"": true}]",Timeline is retrospective explainability only. The candidate for target date D uses raw digits from D-lag and never uses D's outcome to construct the candidate.
loto,active,16,103,104,prize7_3.d0,prize7_3.d1,L16: Giải bảy 3 · số 1(6) + Giải bảy 3 · số 2(0) → 60,82.8048,0.22754793,7,7,2026-09-24,60,4134,956,0.2312530237058539,20,9,0.45,"[{""target_date"": ""2026-09-04"", ""base_date"": ""2026-08-19"", ""candidate"": ""73"", ""hit"": false}, {""target_date"": ""2026-09-05"", ""base_date"": ""2026-08-20"", ""candidate"": ""47"", ""hit"": false}, {""target_date"": ""2026-09-06"", ""base_date"": ""2026-08-21"", ""candidate"": ""99"", ""hit"": true}, {""target_date"": ""2026-09-07"", ""base_date"": ""2026-08-22"", ""candidate"": ""06"", ""hit"": false}, {""target_date"": ""2026-09-08"", ""base_date"": ""2026-08-23"", ""candidate"": ""38"", ""hit"": true}, {""target_date"": ""2026-09-09"", ""base_date"": ""2026-08-24"", ""candidate"": ""40"", ""hit"": false}, {""target_date"": ""2026-09-10"", ""base_date"": ""2026-08-25"", ""candidate"": ""45"", ""hit"": false}, {""target_date"": ""2026-09-11"", ""base_date"": ""2026-08-26"", ""candidate"": ""96"", ""hit"": false}, {""target_date"": ""2026-09-12"", ""base_date"": ""2026-08-27"", ""candidate"": ""61"", ""hit"": false}, {""target_date"": ""2026-09-13"", ""base_date"": ""2026-08-28"", ""candidate"": ""82"", ""hit"": false}, {""target_date"": ""2026-09-14"", ""base_date"": ""2026-08-29"", ""candidate"": ""34"", ""hit"": false}, {""target_date"": ""2026-09-15"", ""base_date"": ""2026-08-30"", ""candidate"": ""34"", ""hit"": false}, {""target_date"": ""2026-09-16"", ""base_date"": ""2026-08-31"", ""candidate"": ""70"", ""hit"": false}, {""target_date"": ""2026-09-17"", ""base_date"": ""2026-09-01"", ""candidate"": ""51"", ""hit"": true}, {""target_date"": ""2026-09-18"", ""base_date"": ""2026-09-02"", ""candidate"": ""32"", ""hit"": true}, {""target_date"": ""2026-09-19"", ""base_date"": ""2026-09-03"", ""candidate"": ""73"", ""hit"": true}, {""target_date"": ""2026-09-20"", ""base_date"": ""2026-09-04"", ""candidate"": ""74"", ""hit"": true}, {""target_date"": ""2026-09-21"", ""base_date"": ""2026-09-05"", ""candidate"": ""31"", ""hit"": true}, {""target_date"": ""2026-09-22"", ""base_date"": ""2026-09-06"", ""candidate"": ""38"", ""hit"": true}, {""target_date"": ""2026-09-23"", ""base_date"": ""2026-09-07"", ""candidate"": ""50"", ""hit"": true}]",Timeline is retrospective explainability only. The candidate for target date D uses raw digits from D-lag and never uses D's outcome to construct the candidate.
loto,active,12,6,49,prize1.d1,prize3_6.d4,L12: Giải nhất · số 2(3) + Giải ba 6 · số 5(9) → 39,82.4012,0.2235116,7,7,2026-09-24,39,4142,912,0.22018348623853212,20,11,0.55,"[{""target_date"": ""2026-09-04"", ""base_date"": ""2026-08-23"", ""candidate"": ""00"", ""hit"": false}, {""target_date"": ""2026-09-05"", ""base_date"": ""2026-08-24"", ""candidate"": ""03"", ""hit"": true}, {""target_date"": ""2026-09-06"", ""base_date"": ""2026-08-25"", ""candidate"": ""66"", ""hit"": false}, {""target_date"": ""2026-09-07"", ""base_date"": ""2026-08-26"", ""candidate"": ""71"", ""hit"": true}, {""target_date"": ""2026-09-08"", ""base_date"": ""2026-08-27"", ""candidate"": ""62"", ""hit"": true}, {""target_date"": ""2026-09-09"", ""base_date"": ""2026-08-28"", ""candidate"": ""55"", ""hit"": false}, {""target_date"": ""2026-09-10"", ""base_date"": ""2026-08-29"", ""candidate"": ""71"", ""hit"": false}, {""target_date"": ""2026-09-11"", ""base_date"": ""2026-08-30"", ""candidate"": ""84"", ""hit"": false}, {""target_date"": ""2026-09-12"", ""base_date"": ""2026-08-31"", ""candidate"": ""42"", ""hit"": true}, {""target_date"": ""2026-09-13"", ""base_date"": ""2026-09-01"", ""candidate"": ""91"", ""hit"": false}, {""target_date"": ""2026-09-14"", ""base_date"": ""2026-09-02"", ""candidate"": ""00"", ""hit"": false}, {""target_date"": ""2026-09-15"", ""base_date"": ""2026-09-03"", ""candidate"": ""38"", ""hit"": false}, {""target_date"": ""2026-09-16"", ""base_date"": ""2026-09-04"", ""candidate"": ""16"", ""hit"": false}, {""target_date"": ""2026-09-17"", ""base_date"": ""2026-09-05"", ""candidate"": ""64"", ""hit"": true}, {""target_date"": ""2026-09-18"", ""base_date"": ""2026-09-06"", ""candidate"": ""23"", ""hit"": true}, {""target_date"": ""2026-09-19"", ""base_date"": ""2026-09-07"", ""candidate"": ""73"", ""hit"": true}, {""target_date"": ""2026-09-20"", ""base_date"": ""2026-09-08"", ""candidate"": ""15"", ""hit"": true}, {""target_date"": ""2026-09-21"", ""base_date"": ""2026-09-09"", ""candidate"": ""13"", ""hit"": true}, {""target_date"": ""2026-09-22"", ""base_date"": ""2026-09-10"", ""candidate"": ""46"", ""hit"": true}, {""target_date"": ""2026-09-23"", ""base_date"": ""2026-09-11"", ""candidate"": ""67"", ""hit"": true}]",Timeline is retrospective explainability only. The candidate for target date D uses raw digits from D-lag and never uses D's outcome to construct the candidate.
loto,active,15,15,69,prize2_2.d0,prize5_1.d3,L15: Giải nhì 2 · số 1(4) + Giải năm 1 · số 4(7) → 47,80.127,0.25227043,6,6,2026-09-24,47,4136,970,0.23452611218568664,20,7,0.35,"[{""target_date"": ""2026-09-04"", ""base_date"": ""2026-08-20"", ""candidate"": ""74"", ""hit"": true}, {""target_date"": ""2026-09-05"", ""base_date"": ""2026-08-21"", ""candidate"": ""40"", ""hit"": false}, {""target_date"": ""2026-09-06"", ""base_date"": ""2026-08-22"", ""candidate"": ""50"", ""hit"": false}, {""target_date"": ""2026-09-07"", ""base_date"": ""2026-08-23"", ""candidate"": ""44"", ""hit"": false}, {""target_date"": ""2026-09-08"", ""base_date"": ""2026-08-24"", ""candidate"": ""23"", ""hit"": false}, {""target_date"": ""2026-09-09"", ""base_date"": ""2026-08-25"", ""candidate"": ""82"", ""hit"": false}, {""target_date"": ""2026-09-10"", ""base_date"": ""2026-08-26"", ""candidate"": ""28"", ""hit"": false}, {""target_date"": ""2026-09-11"", ""base_date"": ""2026-08-27"", ""candidate"": ""43"", ""hit"": false}, {""target_date"": ""2026-09-12"", ""base_date"": ""2026-08-28"", ""candidate"": ""29"", ""hit"": false}, {""target_date"": ""2026-09-13"", ""base_date"": ""2026-08-29"", ""candidate"": ""93"", ""hit"": false}, {""target_date"": ""2026-09-14"", ""base_date"": ""2026-08-30"", ""candidate"": ""20"", ""hit"": false}, {""target_date"": ""2026-09-15"", ""base_date"": ""2026-08-31"", ""candidate"": ""56"", ""hit"": false}, {""target_date"": ""2026-09-16"", ""base_date"": ""2026-09-01"", ""candidate"": ""26"", ""hit"": false}, {""target_date"": ""2026-09-17"", ""base_date"": ""2026-09-02"", ""candidate"": ""30"", ""hit"": false}, {""target_date"": ""2026-09-18"", ""base_date"": ""2026-09-03"", ""candidate"": ""33"", ""hit"": true}, {""target_date"": ""2026-09-19"", ""base_date"": ""2026-09-04"", ""candidate"": ""12"", ""hit"": true}, {""target_date"": ""2026-09-20"", ""base_date"": ""2026-09-05"", ""candidate"": ""38"", ""hit"": true}, {""target_date"": ""2026-09-21"", ""base_date"": ""2026-09-06"", ""candidate"": ""96"", ""hit"": true}, {""target_date"": ""2026-09-22"", ""base_date"": ""2026-09-07"", ""candidate"": ""06"", ""hit"": true}, {""target_date"": ""2026-09-23"", ""base_date"": ""2026-09-08"", ""candidate"": ""34"", ""hit"": true}]",Timeline is retrospective explainability only. The candidate for target date D uses raw digits from D-lag and never uses D's outcome to construct the candidate.
loto,active,1,103,106,prize7_3.d0,prize7_4.d1,L1: Giải bảy 3 · số 1(6) + Giải bảy 4 · số 2(9) → 69,80.0878,0.25187782,6,6,2026-09-24,69,4200,1013,0.24119047619047618,20,8,0.4,"[{""target_date"": ""2026-09-04"", ""base_date"": ""2026-09-03"", ""candidate"": ""71"", ""hit"": false}, {""target_date"": ""2026-09-05"", ""base_date"": ""2026-09-04"", ""candidate"": ""78"", ""hit"": false}, {""target_date"": ""2026-09-06"", ""base_date"": ""2026-09-05"", ""candidate"": ""31"", ""hit"": false}, {""target_date"": ""2026-09-07"", ""base_date"": ""2026-09-06"", ""candidate"": ""33"", ""hit"": false}, {""target_date"": ""2026-09-08"", ""base_date"": ""2026-09-07"", ""candidate"": ""59"", ""hit"": false}, {""target_date"": ""2026-09-09"", ""base_date"": ""2026-09-08"", ""candidate"": ""67"", ""hit"": false}, {""target_date"": ""2026-09-10"", ""base_date"": ""2026-09-09"", ""candidate"": ""82"", ""hit"": false}, {""target_date"": ""2026-09-11"", ""base_date"": ""2026-09-10"", ""candidate"": ""17"", ""hit"": false}, {""target_date"": ""2026-09-12"", ""base_date"": ""2026-09-11"", ""candidate"": ""82"", ""hit"": true}, {""target_date"": ""2026-09-13"", ""base_date"": ""2026-09-12"", ""candidate"": ""43"", ""hit"": false}, {""target_date"": ""2026-09-14"", ""base_date"": ""2026-09-13"", ""candidate"": ""47"", ""hit"": true}, {""target_date"": ""2026-09-15"", ""base_date"": ""2026-09-14"", ""candidate"": ""21"", ""hit"": false}, {""target_date"": ""2026-09-16"", ""base_date"": ""2026-09-15"", ""candidate"": ""43"", ""hit"": false}, {""target_date"": ""2026-09-17"", ""base_date"": ""2026-09-16"", ""candidate"": ""41"", ""hit"": false}, {""target_date"": ""2026-09-18"", ""base_date"": ""2026-09-17"", ""candidate"": ""32"", ""hit"": true}, {""target_date"": ""2026-09-19"", ""base_date"": ""2026-09-18"", ""candidate"": ""72"", ""hit"": true}, {""target_date"": ""2026-09-20"", ""base_date"": ""2026-09-19"", ""candidate"": ""74"", ""hit"": true}, {""target_date"": ""2026-09-21"", ""base_date"": ""2026-09-20"", ""candidate"": ""75"", ""hit"": true}, {""target_date"": ""2026-09-22"", ""base_date"": ""2026-09-21"", ""candidate"": ""35"", ""hit"": true}, {""target_date"": ""2026-09-23"", ""base_date"": ""2026-09-22"", ""candidate"": ""34"", ""hit"": true}]",Timeline is retrospective explainability only. The candidate for target date D uses raw digits from D-lag and never uses D's outcome to construct the candidate.
loto,active,25,12,94,prize2_1.d2,prize6_2.d1,L25: Giải nhì 1 · số 3(5) + Giải sáu 2 · số 2(5) → 55,79.9757,0.25075681,6,6,2026-09-24,55,4119,1014,0.24617625637290605,20,9,0.45,"[{""target_date"": ""2026-09-04"", ""base_date"": ""2026-08-10"", ""candidate"": ""82"", ""hit"": false}, {""target_date"": ""2026-09-05"", ""base_date"": ""2026-08-11"", ""candidate"": ""92"", ""hit"": false}, {""target_date"": ""2026-09-06"", ""base_date"": ""2026-08-12"", ""candidate"": ""45"", ""hit"": true}, {""target_date"": ""2026-09-07"", ""base_date"": ""2026-08-13"", ""candidate"": ""68"", ""hit"": false}, {""target_date"": ""2026-09-08"", ""base_date"": ""2026-08-14"", ""candidate"": ""57"", ""hit"": false}, {""target_date"": ""2026-09-09"", ""base_date"": ""2026-08-15"", ""candidate"": ""75"", ""hit"": false}, {""target_date"": ""2026-09-10"", ""base_date"": ""2026-08-16"", ""candidate"": ""53"", ""hit"": true}, {""target_date"": ""2026-09-11"", ""base_date"": ""2026-08-17"", ""candidate"": ""68"", ""hit"": false}, {""target_date"": ""2026-09-12"", ""base_date"": ""2026-08-18"", ""candidate"": ""28"", ""hit"": false}, {""target_date"": ""2026-09-13"", ""base_date"": ""2026-08-19"", ""candidate"": ""91"", ""hit"": false}, {""target_date"": ""2026-09-14"", ""base_date"": ""2026-08-20"", ""candidate"": ""27"", ""hit"": false}, {""target_date"": ""2026-09-15"", ""base_date"": ""2026-08-21"", ""candidate"": ""12"", ""hit"": false}, {""target_date"": ""2026-09-16"", ""base_date"": ""2026-08-22"", ""candidate"": ""64"", ""hit"": true}, {""target_date"": ""2026-09-17"", ""base_date"": ""2026-08-23"", ""candidate"": ""74"", ""hit"": false}, {""target_date"": ""2026-09-18"", ""base_date"": ""2026-08-24"", ""candidate"": ""56"", ""hit"": true}, {""target_date"": ""2026-09-19"", ""base_date"": ""2026-08-25"", ""candidate"": ""06"", ""hit"": true}, {""target_date"": ""2026-09-20"", ""base_date"": ""2026-08-26"", ""candidate"": ""66"", ""hit"": true}, {""target_date"": ""2026-09-21"", ""base_date"": ""2026-08-27"", ""candidate"": ""48"", ""hit"": true}, {""target_date"": ""2026-09-22"", ""base_date"": ""2026-08-28"", ""candidate"": ""35"", ""hit"": true}, {""target_date"": ""2026-09-23"", ""base_date"": ""2026-08-29"", ""candidate"": ""87"", ""hit"": true}]",Timeline is retrospective explainability only. The candidate for target date D uses raw digits from D-lag and never uses D's outcome to construct the candidate.
loto,active,13,38,94,prize3_4.d3,prize6_2.d1,L13: Giải ba 4 · số 4(4) + Giải sáu 2 · số 2(8) → 48,79.8748,0.24974773,6,6,2026-09-24,48,4140,1028,0.24830917874396136,20,9,0.45,"[{""target_date"": ""2026-09-04"", ""base_date"": ""2026-08-22"", ""candidate"": ""44"", ""hit"": false}, {""target_date"": ""2026-09-05"", ""base_date"": ""2026-08-23"", ""candidate"": ""54"", ""hit"": false}, {""target_date"": ""2026-09-06"", ""base_date"": ""2026-08-24"", ""candidate"": ""16"", ""hit"": true}, {""target_date"": ""2026-09-07"", ""base_date"": ""2026-08-25"", ""candidate"": ""36"", ""hit"": false}, {""target_date"": ""2026-09-08"", ""base_date"": ""2026-08-26"", ""candidate"": ""66"", ""hit"": false}, {""target_date"": ""2026-09-09"", ""base_date"": ""2026-08-27"", ""candidate"": ""18"", ""hit"": true}, {""target_date"": ""2026-09-10"", ""base_date"": ""2026-08-28"", ""candidate"": ""75"", ""hit"": false}, {""target_date"": ""2026-09-11"", ""base_date"": ""2026-08-29"", ""candidate"": ""07"", ""hit"": false}, {""target_date"": ""2026-09-12"", ""base_date"": ""2026-08-30"", ""candidate"": ""25"", ""hit"": false}, {""target_date"": ""2026-09-13"", ""base_date"": ""2026-08-31"", ""candidate"": ""62"", ""hit"": true}, {""target_date"": ""2026-09-14"", ""base_date"": ""2026-09-01"", ""candidate"": ""07"", ""hit"": false}, {""target_date"": ""2026-09-15"", ""base_date"": ""2026-09-02"", ""candidate"": ""93"", ""hit"": false}, {""target_date"": ""2026-09-16"", ""base_date"": ""2026-09-03"", ""candidate"": ""34"", ""hit"": false}, {""target_date"": ""2026-09-17"", ""base_date"": ""2026-09-04"", ""candidate"": ""73"", ""hit"": false}, {""target_date"": ""2026-09-18"", ""base_date"": ""2026-09-05"", ""candidate"": ""29"", ""hit"": true}, {""target_date"": ""2026-09-19"", ""base_date"": ""2026-09-06"", ""candidate"": ""14"", ""hit"": true}, {""target_date"": ""2026-09-20"", ""base_date"": ""2026-09-07"", ""candidate"": ""46"", ""hit"": true}, {""target_date"": ""2026-09-21"", ""base_date"": ""2026-09-08"", ""candidate"": ""30"", ""hit"": true}, {""target_date"": ""2026-09-22"", ""base_date"": ""2026-09-09"", ""candidate"": ""38"", ""hit"": true}, {""target_date"": ""2026-09-23"", ""base_date"": ""2026-09-10"", ""candidate"": ""09"", ""hit"": true}]",Timeline is retrospective explainability only. The candidate for target date D uses raw digits from D-lag and never uses D's outcome to construct the candidate.
loto,active,12,24,32,prize3_1.d4,prize3_3.d2,L12: Giải ba 1 · số 5(1) + Giải ba 3 · số 3(5) → 15,79.7739,0.24873865,6,6,2026-09-24,15,4142,1013,0.24456784162240464,20,10,0.5,"[{""target_date"": ""2026-09-04"", ""base_date"": ""2026-08-23"", ""candidate"": ""82"", ""hit"": false}, {""target_date"": ""2026-09-05"", ""base_date"": ""2026-08-24"", ""candidate"": ""63"", ""hit"": false}, {""target_date"": ""2026-09-06"", ""base_date"": ""2026-08-25"", ""candidate"": ""99"", ""hit"": true}, {""target_date"": ""2026-09-07"", ""base_date"": ""2026-08-26"", ""candidate"": ""57"", ""hit"": true}, {""target_date"": ""2026-09-08"", ""base_date"": ""2026-08-27"", ""candidate"": ""47"", ""hit"": false}, {""target_date"": ""2026-09-09"", ""base_date"": ""2026-08-28"", ""candidate"": ""08"", ""hit"": false}, {""target_date"": ""2026-09-10"", ""base_date"": ""2026-08-29"", ""candidate"": ""81"", ""hit"": true}, {""target_date"": ""2026-09-11"", ""base_date"": ""2026-08-30"", ""candidate"": ""32"", ""hit"": false}, {""target_date"": ""2026-09-12"", ""base_date"": ""2026-08-31"", ""candidate"": ""35"", ""hit"": true}, {""target_date"": ""2026-09-13"", ""base_date"": ""2026-09-01"", ""candidate"": ""76"", ""hit"": false}, {""target_date"": ""2026-09-14"", ""base_date"": ""2026-09-02"", ""candidate"": ""66"", ""hit"": false}, {""target_date"": ""2026-09-15"", ""base_date"": ""2026-09-03"", ""candidate"": ""30"", ""hit"": false}, {""target_date"": ""2026-09-16"", ""base_date"": ""2026-09-04"", ""candidate"": ""35"", ""hit"": false}, {""target_date"": ""2026-09-17"", ""base_date"": ""2026-09-05"", ""candidate"": ""33"", ""hit"": false}, {""target_date"": ""2026-09-18"", ""base_date"": ""2026-09-06"", ""candidate"": ""94"", ""hit"": true}, {""target_date"": ""2026-09-19"", ""base_date"": ""2026-09-07"", ""candidate"": ""77"", ""hit"": true}, {""target_date"": ""2026-09-20"", ""base_date"": ""2026-09-08"", ""candidate"": ""38"", ""hit"": true}, {""target_date"": ""2026-09-21"", ""base_date"": ""2026-09-09"", ""candidate"": ""00"", ""hit"": true}, {""target_date"": ""2026-09-22"", ""base_date"": ""2026-09-10"", ""candidate"": ""44"", ""hit"": true}, {""target_date"": ""2026-09-23"", ""base_date"": ""2026-09-11"", ""candidate"": ""09"", ""hit"": true}]",Timeline is retrospective explainability only. The candidate for target date D uses raw digits from D-lag and never uses D's outcome to construct the candidate.
loto,active,10,13,74,prize2_1.d3,prize5_3.d0,L10: Giải nhì 1 · số 4(8) + Giải năm 3 · số 1(4) → 84,79.673,0.24772957,6,6,2026-09-24,84,4146,1032,0.24891461649782923,20,10,0.5,"[{""target_date"": ""2026-09-04"", ""base_date"": ""2026-08-25"", ""candidate"": ""80"", ""hit"": false}, {""target_date"": ""2026-09-05"", ""base_date"": ""2026-08-26"", ""candidate"": ""07"", ""hit"": false}, {""target_date"": ""2026-09-06"", ""base_date"": ""2026-08-27"", ""candidate"": ""19"", ""hit"": false}, {""target_date"": ""2026-09-07"", ""base_date"": ""2026-08-28"", ""candidate"": ""50"", ""hit"": true}, {""target_date"": ""2026-09-08"", ""base_date"": ""2026-08-29"", ""candidate"": ""44"", ""hit"": true}, {""target_date"": ""2026-09-09"", ""base_date"": ""2026-08-30"", ""candidate"": ""13"", ""hit"": true}, {""target_date"": ""2026-09-10"", ""base_date"": ""2026-08-31"", ""candidate"": ""84"", ""hit"": true}, {""target_date"": ""2026-09-11"", ""base_date"": ""2026-09-01"", ""candidate"": ""88"", ""hit"": false}, {""target_date"": ""2026-09-12"", ""base_date"": ""2026-09-02"", ""candidate"": ""47"", ""hit"": false}, {""target_date"": ""2026-09-13"", ""base_date"": ""2026-09-03"", ""candidate"": ""59"", ""hit"": false}, {""target_date"": ""2026-09-14"", ""base_date"": ""2026-09-04"", ""candidate"": ""70"", ""hit"": false}, {""target_date"": ""2026-09-15"", ""base_date"": ""2026-09-05"", ""candidate"": ""91"", ""hit"": false}, {""target_date"": ""2026-09-16"", ""base_date"": ""2026-09-06"", ""candidate"": ""80"", ""hit"": false}, {""target_date"": ""2026-09-17"", ""base_date"": ""2026-09-07"", ""candidate"": ""68"", ""hit"": false}, {""target_date"": ""2026-09-18"", ""base_date"": ""2026-09-08"", ""candidate"": ""23"", ""hit"": true}, {""target_date"": ""2026-09-19"", ""base_date"": ""2026-09-09"", ""candidate"": ""90"", ""hit"": true}, {""target_date"": ""2026-09-20"", ""base_date"": ""2026-09-10"", ""candidate"": ""35"", ""hit"": true}, {""target_date"": ""2026-09-21"", ""base_date"": ""2026-09-11"", ""candidate"": ""93"", ""hit"": true}, {""target_date"": ""2026-09-22"", ""base_date"": ""2026-09-12"", ""candidate"": ""44"", ""hit"": true}, {""target_date"": ""2026-09-23"", ""base_date"": ""2026-09-13"", ""candidate"": ""04"", ""hit"": true}]",Timeline is retrospective explainability only. The candidate for target date D uses raw digits from D-lag and never uses D's outcome to construct the candidate.
