mode,strategy_a,strategy_b,jaccard,phi_correlation
de,Chạm đuôi ĐB,Dàn đuôi ĐB,0.5263157894736842,0.6882472016116808
de,Chạm đầu ĐB,Dàn đầu ĐB,0.5263157894736842,0.6882472016116804
de,Bộ ĐB,Dàn tổng ĐB,0.26192379429789503,0.3685333925086274
de,ĐB lặp lại,Bộ ĐB,0.14089521871820956,0.36361709619413535
de,ĐB lộn,Bộ ĐB,0.14089521871820956,0.36361709619413535
de,Bóng ĐB,Bộ ĐB,0.14089521871820956,0.3636170961941353
de,ĐB lặp lại,Dàn đầu ĐB,0.1,0.30151134457776235
de,ĐB lặp lại,Dàn tổng ĐB,0.1,0.3015113445777619
de,ĐB lộn,Dàn tổng ĐB,0.1,0.30151134457776185
de,Bóng ĐB,Dàn tổng ĐB,0.1,0.3015113445777618
de,ĐB lặp lại,Dàn đuôi ĐB,0.1,0.30151134457776163
de,Ghép ĐB×G1,Chạm đầu ĐB,0.0997529925897777,0.28698591618696506
de,Bộ ĐB,Chạm đuôi ĐB,0.16907900056602249,0.24081232261285845
de,Bộ ĐB,Chạm đầu ĐB,0.16907900056602249,0.24081232261285843
de,Hot 30d top5,Hot 90d top5,0.16142557651991615,0.23997719931597966
de,Cold 30d top5,Gan top5,0.1451012815212898,0.21413642409272268
de,ĐB lặp lại,Chạm đầu ĐB,0.05263157894736842,0.20751433915982273
de,ĐB lộn,Chạm đuôi ĐB,0.05263157894736842,0.20751433915982256
de,ĐB lộn,Chạm đầu ĐB,0.05263157894736842,0.20751433915982256
de,ĐB lặp lại,Chạm đuôi ĐB,0.05263157894736842,0.2075143391598225
de,Ghép ĐB×G1,Dàn đầu ĐB,0.09178263750828364,0.19812106895534712
de,Lô rơi,Vị trí head-tail plurality,0.08287776076973541,0.1841203789772899
de,ĐB lặp lại,Lô rơi,0.04198878278005154,0.17975511619431617
de,ĐB lộn,Lô lộn,0.04198878278005154,0.17975511619431614
de,Bộ ĐB,Dàn đuôi ĐB,0.1324725011956002,0.16748961658517728
de,Bộ ĐB,Dàn đầu ĐB,0.1324725011956002,0.16748961658517691
de,Vị trí tail-tail plurality,Vị trí head-tail plurality,0.09055118110236221,0.14027317726748345
de,ĐB lộn,Bóng ĐB,0.06333973128598848,0.11023593334062651
de,ĐB lặp lại,ĐB lộn,0.05624404194470925,0.09747292418772571
de,Lô rơi,Hot 30d top5,0.0781387181738367,0.09669328551246148
de,Lô rơi,Lô lộn,0.18082964156262585,0.08941067908398909
de,Kép bằng + lệch,Vị trí tail-tail plurality,0.054452168156239655,0.08613271674243449
de,ĐB lộn,Ghép ĐB×G1,0.04905166775670373,0.08581193469708709
de,ĐB lặp lại,Ghép ĐB×G1,0.04905166775670373,0.08581193469708707
de,Bộ ĐB,Ghép ĐB×G1,0.047078604455653636,0.07705715316054858
de,Lô rơi,Vị trí tail-tail plurality,0.04893031137470875,0.07382402955351072
de,Chạm đuôi ĐB,Vị trí tail-tail plurality,0.050327473285074115,0.07234617741081983
de,Dàn đuôi ĐB,Vị trí tail-tail plurality,0.054156908665105384,0.07188307810036093
de,Dàn đuôi ĐB,Vị trí head-tail plurality,0.052001168565585745,0.06694508451152355
de,Bộ ĐB,Lô rơi,0.08440448299879694,0.06544361787717377
de,Bộ ĐB,Lô lộn,0.08440448299879694,0.06544361787717368
de,Lô lộn,Vị trí tail-tail plurality,0.046123512428702204,0.06438425190012426
de,Dàn đuôi ĐB,Lô rơi,0.102,0.05856426617872737
de,Dàn đầu ĐB,Vị trí head-tail plurality,0.04741128563118092,0.056363669678300685
de,ĐB lặp lại,Vị trí head-tail plurality,0.03213786679087098,0.055704674078696184
de,Dàn đầu ĐB,Lô rơi,0.10005871990604814,0.054326620290252106
de,Dàn tổng ĐB,Lô lộn,0.09992954438703616,0.054044110564353876
de,Dàn tổng ĐB,Lô rơi,0.09992954438703616,0.05404411056435381
de,Lô rơi,Hot 90d top5,0.06030818278427205,0.04827858997133363
de,Chạm đuôi ĐB,Vị trí head-tail plurality,0.04064207650273224,0.043215660818587666
de,Chạm đuôi ĐB,Lô lộn,0.1379773555939359,0.03987461113800079
de,Chạm đuôi ĐB,Lô rơi,0.1379773555939359,0.03987461113800074
de,Chạm đầu ĐB,Lô lộn,0.13704999760318298,0.03803826614871211
de,Chạm đầu ĐB,Lô rơi,0.13704999760318298,0.03803826614871209
de,Chạm đầu ĐB,Vị trí head-tail plurality,0.03833702504685636,0.036202758676013226
de,Ghép ĐB×G1,Vị trí head-tail plurality,0.026495079485238455,0.02987581842417072
de,Ghép ĐB×G1,Lô rơi,0.023937890877722665,0.025773208964031912
de,Ghép ĐB×G1,Lô lộn,0.023937890877722665,0.02577320896403191
de,Bóng ĐB,Lô lộn,0.013864306784660767,0.023875922413527456
de,Bộ ĐB,Vị trí head-tail plurality,0.03229378114043181,0.023504857447977024
