mode,strategy_a,strategy_b,jaccard,phi_correlation
loto,Chạm đuôi ĐB,Dàn đuôi ĐB,0.5263157894736842,0.6882472016116821
loto,Chạm đầu ĐB,Dàn đầu ĐB,0.5263157894736842,0.6882472016116813
loto,ĐB lặp lại,Bộ ĐB,0.14560439560439561,0.3701001715402702
loto,ĐB lộn,Bộ ĐB,0.14560439560439561,0.37010017154027003
loto,Bóng ĐB,Bộ ĐB,0.14560439560439561,0.37010017154027003
loto,Bộ ĐB,Dàn tổng ĐB,0.2556179775280899,0.36207776256050944
loto,ĐB lặp lại,Dàn tổng ĐB,0.1,0.3015113445777619
loto,ĐB lặp lại,Dàn đuôi ĐB,0.1,0.3015113445777619
loto,ĐB lặp lại,Dàn đầu ĐB,0.1,0.3015113445777618
loto,Bóng ĐB,Dàn tổng ĐB,0.1,0.30151134457776163
loto,ĐB lộn,Dàn tổng ĐB,0.1,0.30151134457776163
loto,Ghép ĐB×G1,Chạm đầu ĐB,0.09632571996027806,0.28191920571797996
loto,Bộ ĐB,Chạm đuôi ĐB,0.16780238500851788,0.24311356101541595
loto,Bộ ĐB,Chạm đầu ĐB,0.16780238500851788,0.24311356101541587
loto,ĐB lộn,Chạm đầu ĐB,0.05263157894736842,0.20751433915982248
loto,ĐB lặp lại,Chạm đuôi ĐB,0.05263157894736842,0.20751433915982248
loto,ĐB lặp lại,Chạm đầu ĐB,0.05263157894736842,0.2075143391598224
loto,ĐB lộn,Chạm đuôi ĐB,0.05263157894736842,0.2075143391598224
loto,Ghép ĐB×G1,Dàn đầu ĐB,0.09233449477351917,0.2031673245552174
loto,Vị trí tail-tail plurality,Vị trí head-tail plurality,0.12367491166077739,0.19600596511703383
loto,Hot 30d top5,Hot 90d top5,0.13247863247863248,0.19364448857994027
loto,Lô rơi,Vị trí head-tail plurality,0.08545034642032333,0.19136433569356845
loto,ĐB lặp lại,Lô rơi,0.042366107114308556,0.18081216078903736
loto,ĐB lộn,Lô lộn,0.042366107114308556,0.1808121607890373
loto,Bộ ĐB,Dàn đuôi ĐB,0.13451776649746192,0.17308112825694769
loto,Bộ ĐB,Dàn đầu ĐB,0.13451776649746192,0.17308112825694744
loto,ĐB lộn,Bóng ĐB,0.08163265306122448,0.14236706689536846
loto,ĐB lặp lại,ĐB lộn,0.0707070707070707,0.1233085572708211
loto,Cold 30d top5,Gan top5,0.09053497942386832,0.12214498510426965
loto,Lô rơi,Hot 30d top5,0.07823613086770982,0.09673572006211781
loto,Lô rơi,Lô lộn,0.17354596622889307,0.07817880050121426
loto,Kép bằng + lệch,Vị trí tail-tail plurality,0.05176876617773943,0.07797704134739394
loto,Chạm đuôi ĐB,Vị trí tail-tail plurality,0.05139765554553652,0.07553200958879643
loto,Dàn đuôi ĐB,Vị trí tail-tail plurality,0.055130168453292494,0.07410584071312604
loto,Bộ ĐB,Lô rơi,0.08534946236559139,0.07217543826997215
loto,Bộ ĐB,Lô lộn,0.08534946236559139,0.07217543826997215
loto,ĐB lặp lại,Vị trí head-tail plurality,0.0392156862745098,0.07125544688229732
loto,ĐB lặp lại,Ghép ĐB×G1,0.041666666666666664,0.07116027334886327
loto,ĐB lộn,Ghép ĐB×G1,0.041666666666666664,0.07116027334886317
loto,Chạm đầu ĐB,Vị trí head-tail plurality,0.048561151079136694,0.06707377783193229
loto,Lô rơi,Vị trí tail-tail plurality,0.0467706013363029,0.06634067823758256
loto,Kép bằng + lệch,Hot 30d top5,0.06682769726247988,0.06492898128412095
loto,Bộ ĐB,Ghép ĐB×G1,0.040632054176072234,0.06310526737304614
loto,Dàn đuôi ĐB,Vị trí head-tail plurality,0.05030487804878049,0.06304526747236106
loto,ĐB lặp lại,Vị trí tail-tail plurality,0.03414634146341464,0.060139152516884335
loto,ĐB lộn,Vị trí tail-tail plurality,0.03414634146341464,0.06013915251688423
loto,Ghép ĐB×G1,Vị trí tail-tail plurality,0.04065040650406504,0.05850418862088726
loto,Kép bằng + lệch,Hot 90d top5,0.0642570281124498,0.0584360831557091
loto,Lô lộn,Vị trí tail-tail plurality,0.043671354552183565,0.055922040116250384
loto,Dàn đuôi ĐB,Lô rơi,0.09938271604938272,0.053170488530146165
loto,Dàn đầu ĐB,Vị trí head-tail plurality,0.04552352048558422,0.051984694231596
loto,Dàn tổng ĐB,Lô lộn,0.09802712700369914,0.050208344322338616
loto,Dàn tổng ĐB,Lô rơi,0.09802712700369914,0.050208344322338595
loto,ĐB lộn,Vị trí head-tail plurality,0.02912621359223301,0.049022858151471255
loto,Dàn đầu ĐB,Lô rơi,0.0973505853357979,0.04872727221843474
loto,Chạm đuôi ĐB,Vị trí head-tail plurality,0.0420017873100983,0.047337903732582766
loto,Bóng ĐB,Lô lộn,0.01795472287275566,0.04684414834964199
loto,ĐB lộn,Hot 90d top5,0.025806451612903226,0.04654933813438323
loto,Chạm đầu ĐB,Lô lộn,0.1404040404040404,0.04565527310272769
loto,Chạm đầu ĐB,Lô rơi,0.1404040404040404,0.045655273102727684
loto,Bộ ĐB,Vị trí head-tail plurality,0.04183266932270916,0.04408346978673277
loto,Lô rơi,Hot 90d top5,0.05792044661549198,0.04169115859368407
loto,Chạm đầu ĐB,Chạm đuôi ĐB,0.1257685858021241,0.041278948594406374
loto,Bộ ĐB,Vị trí tail-tail plurality,0.039761431411530816,0.039710109688842525
loto,Chạm đuôi ĐB,Lô lộn,0.13638651233014595,0.037727044084640525
loto,Chạm đuôi ĐB,Lô rơi,0.13638651233014595,0.03772704408464048
loto,Ghép ĐB×G1,Vị trí head-tail plurality,0.028112449799196786,0.03374924280104774
loto,Bộ ĐB,Sát kép,0.06634304207119741,0.032001899815133274
loto,Kép bằng + lệch,Lô lộn,0.13618485742379546,0.029769549288466323
loto,Kép bằng + lệch,Lô rơi,0.13618485742379546,0.0297695492884663
loto,Chạm đầu ĐB,Vị trí tail-tail plurality,0.03460514640638864,0.02478261904761198
loto,Chạm đầu ĐB,Dàn đuôi ĐB,0.08163265306122448,0.02452872626289026
loto,Chạm đuôi ĐB,Dàn đầu ĐB,0.08163265306122448,0.02452872626289024
loto,Chạm đầu ĐB,Sát kép,0.1135718341851221,0.023460173968354904
loto,ĐB lặp lại,Kép bằng + lệch,0.01366120218579235,0.020859275411040275
loto,Bóng ĐB,Kép bằng + lệch,0.01366120218579235,0.020859275411040275
loto,ĐB lộn,Kép bằng + lệch,0.01366120218579235,0.020859275411040275
loto,Dàn đầu ĐB,Lô lộn,0.08465286236297198,0.020586902244262784
loto,Bóng ĐB,Hot 90d top5,0.01597444089456869,0.02044690553566367
loto,Ghép ĐB×G1,Cold 30d top5,0.022598870056497175,0.02034468494872029
loto,ĐB lộn,Lô rơi,0.01320901320901321,0.020050545861762914
loto,ĐB lặp lại,Lô lộn,0.01320901320901321,0.020050545861762907
loto,Dàn đầu ĐB,Vị trí tail-tail plurality,0.03143712574850299,0.018802974509300456
loto,Ghép ĐB×G1,Lô lộn,0.021212121212121213,0.0169199902796804
loto,Ghép ĐB×G1,Lô rơi,0.021212121212121213,0.016919990279680372
loto,Ghép ĐB×G1,Chạm đuôi ĐB,0.02127659574468085,0.016397744306111448
loto,Ghép ĐB×G1,Hot 30d top5,0.01971830985915493,0.013886054806269288
loto,Ghép ĐB×G1,Kép bằng + lệch,0.020282186948853614,0.012668632247092216
loto,ĐB lặp lại,Sát kép,0.012060301507537688,0.012142230178156478
loto,ĐB lộn,Sát kép,0.012060301507537688,0.012142230178156478
loto,Bóng ĐB,Gan top5,0.012738853503184714,0.011746094669423588
loto,Chạm đuôi ĐB,Sát kép,0.10728402032749859,0.010941404508186852
loto,Ghép ĐB×G1,Dàn đuôi ĐB,0.01951219512195122,0.010791797840115712
loto,ĐB lộn,Dàn đầu ĐB,0.012152777777777778,0.010745687332960123
loto,ĐB lộn,Dàn đuôi ĐB,0.012152777777777778,0.010745687332960122
loto,Chạm đuôi ĐB,Hot 30d top5,0.04519309778142974,0.01026150281363794
loto,Dàn tổng ĐB,Hot 30d top5,0.0392156862745098,0.01010006375530753
loto,Bộ ĐB,Hot 90d top5,0.03453947368421053,0.00958457718646511
loto,Kép bằng + lệch,Vị trí head-tail plurality,0.02956081081081081,0.008848458592612074
loto,Kép bằng + lệch,Cold 30d top5,0.044952681388012616,0.008657197504549305
loto,Chạm đầu ĐB,Hot 90d top5,0.04433497536945813,0.008054728015006112
loto,Dàn tổng ĐB,Vị trí head-tail plurality,0.026825633383010434,0.007742401268535476
loto,Dàn đầu ĐB,Sát kép,0.07225433526011561,0.007530391034461106
loto,Dàn tổng ĐB,Sát kép,0.07225433526011561,0.007530391034460883
loto,Ghép ĐB×G1,Hot 90d top5,0.016853932584269662,0.007427424663818636
loto,Ghép ĐB×G1,Gan top5,0.016853932584269662,0.007427424663818591
loto,Bóng ĐB,Sát kép,0.01104417670682731,0.007206364252076752
loto,Lô lộn,Vị trí head-tail plurality,0.029197080291970802,0.006433509039922529
loto,Ghép ĐB×G1,Dàn tổng ĐB,0.017857142857142856,0.006099711822674089
loto,Bóng ĐB,Vị trí tail-tail plurality,0.009523809523809525,0.004557680689819268
loto,Dàn tổng ĐB,Hot 90d top5,0.03650586701434159,0.0043285987522746015
loto,Dàn đuôi ĐB,Lô lộn,0.07743496672716274,0.004295109101321015
loto,Dàn tổng ĐB,Vị trí tail-tail plurality,0.025297619047619048,0.004055543521613818
loto,Sát kép,Vị trí head-tail plurality,0.027700831024930747,0.0039729540628059895
loto,ĐB lộn,Hot 30d top5,0.009523809523809525,0.003045283803183794
loto,Ghép ĐB×G1,Sát kép,0.017424975798644726,0.0019785079560114497
loto,Chạm đuôi ĐB,Hot 90d top5,0.04176904176904177,0.0014344036191107604
loto,Lô lộn,Cold 30d top5,0.043358568479008944,0.0009174093578072247
loto,Sát kép,Gan top5,0.04099060631938514,0.0006760135508489439
loto,Bóng ĐB,Ghép ĐB×G1,0.006711409395973154,0.00042441514919801525
loto,Hot 90d top5,Vị trí head-tail plurality,0.019230769230769232,0.00025374695270571305
loto,Dàn đuôi ĐB,Dàn tổng ĐB,0.05263157894736842,5.4143738176818925e-17
loto,Dàn tổng ĐB,Kép bằng + lệch,0.07142857142857142,5.2718137332829755e-17
loto,Dàn đuôi ĐB,Kép bằng + lệch,0.07142857142857142,4.3859046373753225e-17
loto,Dàn đầu ĐB,Dàn đuôi ĐB,0.05263157894736842,6.400656850564298e-19
loto,Dàn đầu ĐB,Dàn tổng ĐB,0.05263157894736842,3.0548589514056877e-19
loto,Dàn đầu ĐB,Kép bằng + lệch,0.07142857142857142,-6.0442566395669846e-18
loto,Dàn đuôi ĐB,Sát kép,0.06839452843772498,-0.0006548166116922069
loto,Chạm đuôi ĐB,Dàn tổng ĐB,0.06884561891515995,-0.002725414029209982
loto,Chạm đầu ĐB,Dàn tổng ĐB,0.06884561891515995,-0.0027254140292100083
loto,Lô lộn,Hot 30d top5,0.04192439862542955,-0.003159965565780439
loto,Bộ ĐB,Cold 30d top5,0.027777777777777776,-0.0041076759370564505
loto,Bộ ĐB,Hot 30d top5,0.027777777777777776,-0.004107675937056469
loto,Dàn đuôi ĐB,Hot 30d top5,0.032467532467532464,-0.004328598752274859
loto,Dàn đuôi ĐB,Hot 90d top5,0.032467532467532464,-0.004328598752274932
loto,Hot 30d top5,Vị trí head-tail plurality,0.016786570743405275,-0.004821192101412607
loto,ĐB lặp lại,Hot 90d top5,0.006329113924050633,-0.005655527063055999
loto,ĐB lộn,Cold 30d top5,0.006329113924050633,-0.005655527063056009
loto,Bóng ĐB,Hot 30d top5,0.006329113924050633,-0.005655527063056036
